Sleeper_Player_ID,Full_Name,Position,Status,NFL_Team,years_exp,rookie_year,Birth_Date,Team,Age,Key,Rookie_Year,Is_Rookie,Had_Recent_Stats,Is_Rostered
13175,Kinkead Dent,QB,Active,JAX,0.0,0,2000-07-27,FA,24.8,kinkead dent|QB,0.0,True,False,False
13221,Brett Gabbert,QB,Active,MIA,0.0,0,2000-08-04,FA,24.8,brett gabbert|QB,0.0,True,False,False
8809,Aaron Shampklin,RB,Active,FA,3.0,2022,1999-10-18,FA,25.6,aaron shampklin|RB,2022.0,False,True,False
9487,Parker Washington,WR,Active,JAX,2.0,2023,2002-03-21,FA,23.2,parker washington|WR,2023.0,False,True,False
6918,Salvon Ahmed,RB,Active,IND,5.0,2020,1998-12-30,FA,26.4,salvon ahmed|RB,2020.0,False,True,False
12602,Mykel Williams,DL,Active,SF,0.0,0,2004-06-29,FA,20.9,mykel williams|DL,0.0,True,False,False
13132,JJ Roberts,DB,Active,TB,0.0,0,2001-09-22,FA,23.7,jj roberts|DB,0.0,True,False,False
12586,Cameron Williams,OL,Active,PHI,0.0,0,2003-10-16,FA,21.6,cameron williams|OL,0.0,True,False,False
6786,CeeDee Lamb,WR,Active,DAL,5.0,2020,1999-04-08,nilmaven,26.1,ceedee lamb|WR,2020.0,False,True,True
5038,Michael Gallup,WR,Active,WAS,7.0,2018,1996-03-04,FA,29.2,michael gallup|WR,2018.0,False,True,False
11584,Bucky Irving,RB,Active,TB,1.0,2024,2002-08-19,Haxen2000,22.8,bucky irving|RB,2024.0,False,True,True
6783,Jerry Jeudy,WR,Active,CLE,5.0,2020,1999-04-24,boxerschwartz,26.1,jerry jeudy|WR,2020.0,False,True,True
12887,Joshua Gray,OL,Active,ATL,0.0,0,2000-03-13,FA,25.2,joshua gray|OL,0.0,True,False,False
11616,Jacob Cowing,WR,Active,SF,1.0,2024,2001-02-04,FA,24.3,jacob cowing|WR,2024.0,False,True,False
5965,Miles Boykin,WR,Active,CHI,6.0,2019,1996-10-12,FA,28.6,miles boykin|WR,2019.0,False,True,False
13064,Dorian Singer,WR,Active,JAX,0.0,0,2002-10-16,FA,22.6,dorian singer|WR,0.0,True,False,False
4992,Dante Pettis,WR,Active,NO,7.0,2018,1995-10-23,FA,29.6,dante pettis|WR,2018.0,False,True,False
12739,Tommy Akingbesote,DT,Active,DAL,0.0,0,2003-02-25,FA,22.3,tommy akingbesote|DT,0.0,True,False,False
9504,Kayshon Boutte,WR,Active,NE,2.0,2023,2002-05-07,ShrynoRyno,23.1,kayshon boutte|WR,2023.0,False,True,True
12633,Wyatt Milum,OL,Active,JAX,0.0,0,2002-12-27,FA,22.4,wyatt milum|OL,0.0,True,False,False
4038,John Ross,WR,Active,FA,7.0,2017,1995-11-27,FA,29.5,john ross|WR,2017.0,False,True,False
12507,Omarion Hampton,RB,Active,LAC,0.0,0,2003-03-16,FA,22.2,omarion hampton|RB,0.0,True,False,False
11439,Jaleel McLaughlin,RB,Active,DEN,2.0,2023,2000-09-13,ShrynoRyno,24.7,jaleel mclaughlin|RB,2023.0,False,True,True
5122,Boston Scott,RB,Active,FA,6.0,2018,1995-04-27,FA,30.1,boston scott|RB,2018.0,False,True,False
11629,Devontez Walker,WR,Active,BAL,1.0,2024,2001-06-19,FA,23.9,devontez walker|WR,2024.0,False,True,False
13024,Jay Higgins,LB,Active,BAL,0.0,0,2002-02-14,FA,23.3,jay higgins|LB,0.0,True,False,False
12766,Devin Brandt-Epps,DL,Active,BUF,0.0,0,2001-11-28,FA,23.5,devin brandt-epps|DL,0.0,True,False,False
2320,Melvin Gordon,RB,Active,FA,9.0,2015,1993-04-13,FA,32.1,melvin gordon|RB,2015.0,False,True,False
12493,Oronde Gadsden,TE,Active,LAC,0.0,0,2003-06-25,FA,21.9,oronde gadsden|TE,0.0,True,False,False
12699,LaJohntay Wester,WR,Active,BAL,0.0,0,2002-03-29,FA,23.2,lajohntay wester|WR,0.0,True,False,False
7553,Kyle Pitts,TE,Active,ATL,4.0,2021,2000-10-06,jrroblestn,24.6,kyle pitts|TE,2021.0,False,True,True
12640,Teddye Buchanan,LB,Active,BAL,0.0,0,2002-10-03,FA,22.7,teddye buchanan|LB,0.0,True,False,False
12694,RJ Mickens,DB,Active,LAC,0.0,0,2001-07-10,FA,23.9,rj mickens|DB,0.0,True,False,False
11304,E.J. Jenkins,TE,Active,PHI,2.0,2023,1998-11-03,FA,26.6,e.j. jenkins|TE,2023.0,False,True,False
19,Joe Flacco,QB,Active,CLE,17.0,2008,1985-01-16,FA,40.4,joe flacco|QB,2008.0,False,True,False
12967,Jacolby George,WR,Active,CAR,0.0,0,2003-01-25,FA,22.3,jacolby george|WR,0.0,True,False,False
4054,Mo Alie-Cox,TE,Active,IND,8.0,2017,1993-09-19,FA,31.7,mo alie-cox|TE,2017.0,False,True,False
13108,Julian Fleming,WR,Active,GB,0.0,0,2000-12-19,FA,24.4,julian fleming|WR,0.0,True,False,False
3423,Robbie Chosen,WR,Active,FA,8.0,2016,1993-05-09,FA,32.1,robbie chosen|WR,2016.0,False,True,False
12848,Josh Kelly,WR,Active,DAL,0.0,0,2001-07-01,FA,23.9,josh kelly|WR,0.0,True,False,False
